id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
37,201512,20.32,NULL,0,0,0,0,-0.8712941,-2.4390243902439015,5.5208001,-32.252701,-0.009999999999999995,-0.009999999999999995,NULL,NULL,-11.111111111111107,-11.111111111111107,0.21951219512195122,1.39,-1.17,0.21951219512195122,-81.00000000000003,-11.111111111111107,-0.7000000000000001,0,0.82,0,0,0.09,-0.009999999999999995,0,0,0,0,49
71,202109,2.1,93.6597,0,0,0,0,-20.6006391,-11.397758511313176,22.8321,-28.1146,-9.879999999999999,-8.06,8.237440633245383,-11.62031017369727,-47.405452946350046,-28.935795954265608,0.24043138084161558,0.7188,-1.5865,0.24043138084161558,-8.77791563275434,-70.88830255057168,-44.6,54.69,16.07,21651213,0,11.370000000000001,-5.390000000000001,0,9.25,0,0,81
72,202109,2.1,92.709,0,0,0,0,-20.60486,-11.607335490830636,22.8548,-28.9149,-9.870000000000001,-8.059999999999999,8.153825857519788,-11.502357320099257,-47.317502198768686,-29.11169744942832,0.2453074433656958,0.7273,-1.5654,0.2453074433656958,-8.66377171215881,-70.88830255057165,-44.61000000000001,53.77,16.07,21651213,0,11.370000000000001,-5.38,0,9.25,0,NULL,81
114,202309,6439.84,6357.35,54.82,4.72,0.87,6.29,73.0285557,7.07313989125657,8.6124,10.6172,155.4,181.96,6.159685686325806,34.93817322488459,11.381759342692984,16.58188723851602,0.6214452158310202,5.8313,0.0723,0.6214452158310202,-0.4533413937129039,17.63024542433315,1363.96,98.19,0.48,186770370,6.29,1032.09,117.47,56.04,614.05,-1.1263898214407537,0,121
115,202309,6439.84,7239.15,35.77,3.47,0.87,9.64,99.3276951,5.814126467788004,9.6817,13.0434,380.17,468.70000000000005,2.525634361033678,15.445167484531682,6.2663322017814105,13.445348833152496,0.7106548516344017,3.834,0.5706,0.7106548516344017,1.7053765735011732,16.35226269681503,1855.15,560.82,497.66,186770370,9.64,2866.2699999999995,179.61,56.04,1593.1399999999999,-1.054923991825495,NULL,121
131,201906,3.34,-1.5089863,4.81,0.39,55.41,2.44,30.3260933,15.720524017467246,-2.0873,-2.2492,1.66,1.66,-16.766514444444443,-0.9090278915662651,1599.9999999999998,1844.4444444444443,0.00982532751091703,39.8024,0,0.00982532751091703,-2.9216867469879517,1844.4444444444443,8.64,0,0,2850000,2.44,0.09,1.4399999999999997,1.8525,0.49,0,0,137
175,202109,3.06,40.8366,0,0,0,0,-39.2469149,-2.4930747922437675,0.5113,-20.5491,-0.18,-0.18,0,-226.87,0,0,0,1.5299,-1.0249,0,-209.8888888888889,0,-36.89,0,37.81,9400750,0,0,-0.18,0,0,0,0,185
201,202112,64.98,63.3225,12.14,0,0,3.04,-90.0161737,1.3349753694581286,-4.214,-7.077,6.86,7.370000000000001,1.9388395590936927,8.59192672998643,8.297611757501535,9.797917942437232,0.16088669950738915,0.0509,-0.0154,0.16088669950738915,-0.175033921302578,22.565829761175756,-151.09,2.11,0.22,17608802,3.04,32.66,2.710000000000001,0,7.45,-0.06077165613185698,0,210
202,202112,70.88,98.5171,13.37,0,0,3.01,-120.8683135,4.6536650975117695,-3.0722,-5.1623,11.690000000000001,12.190000000000001,3.01644519289651,8.081796554552911,21.187997550520517,24.586650336803437,0.21963685272360456,0.051,-0.0113,0.21963685272360456,-0.10828547990155862,37.32394366197184,-205.26,2.11,0.22,17608802,3.01,32.66,6.920000000000001,0,7.45,-0.0668210105445747,NULL,210
213,201703,1.7,11.9437,0,0,0,0,-8.9418417,-48.27586206896552,1.2474999,-201.6227,-0.11,-0.09000000000000001,0,-132.70777777777775,0,0,0,0.18,-1,0,-113.77777777777777,0,-10.209999999999999,10.25,0,12380676,0,0,-0.14,0,0,0,0,220
